@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
119,212,0,238,119,0.666667,1,0.471111,1,0.528889,0.640483,0.790861,1.264444,0.000329
120,212,0,237,120,0.663866,1,0.47216,1,0.52784,0.641452,0.789104,1.267261,0.00035
121,212,0,236,121,0.661064,1,0.473214,1,0.526786,0.642424,0.787346,1.270089,0.00037
122,212,0,235,122,0.658263,1,0.474273,1,0.525727,0.643399,0.785589,1.272931,0.000371
123,212,0,234,123,0.655462,1,0.475336,1,0.524664,0.644377,0.783831,1.275785,0.000389
124,212,0,233,124,0.652661,1,0.476404,1,0.523596,0.645358,0.782074,1.278652,0.000407
125,212,0,232,125,0.64986,1,0.477477,1,0.522523,0.646341,0.780316,1.281532,0.000417
126,212,0,231,126,0.647059,1,0.478555,1,0.521445,0.647328,0.778559,1.284424,0.00042
127,212,0,230,127,0.644258,1,0.479638,1,0.520362,0.648318,0.776801,1.28733,0.000421
128,212,0,229,128,0.641457,1,0.480726,1,0.519274,0.649311,0.775044,1.290249,0.000432
129,212,0,228,129,0.638655,1,0.481818,1,0.518182,0.650307,0.773286,1.293182,0.00044
130,212,0,227,130,0.635854,1,0.482916,1,0.517084,0.651306,0.771529,1.296128,0.000442
131,212,0,226,131,0.633053,1,0.484018,1,0.515982,0.652308,0.769772,1.299087,0.000453
132,212,0,225,132,0.630252,1,0.485126,1,0.514874,0.653313,0.768014,1.302059,0.00046
133,212,0,224,133,0.627451,1,0.486239,1,0.513761,0.654321,0.766257,1.305046,0.000462
134,212,0,223,134,0.62465,1,0.487356,1,0.512644,0.655332,0.764499,1.308046,0.000494
135,212,0,222,135,0.621849,1,0.488479,1,0.511521,0.656347,0.762742,1.31106,0.000498
136,212,0,221,136,0.619048,1,0.489607,1,0.510393,0.657364,0.760984,1.314088,0.000512
137,212,0,220,137,0.616246,1,0.490741,1,0.509259,0.658385,0.759227,1.31713,0.000514
138,212,0,219,138,0.613445,1,0.491879,1,0.508121,0.659409,0.757469,1.320186,0.000518
139,212,0,218,139,0.610644,1,0.493023,1,0.506977,0.660436,0.755712,1.323256,0.000537
140,212,0,217,140,0.607843,1,0.494172,1,0.505828,0.661466,0.753954,1.32634,0.000538
141,212,0,216,141,0.605042,1,0.495327,1,0.504673,0.6625,0.752197,1.329439,0.000552
142,212,0,215,142,0.602241,1,0.496487,1,0.503513,0.663537,0.750439,1.332553,0.000555
143,212,0,214,143,0.59944,1,0.497653,1,0.502347,0.664577,0.748682,1.335681,0.000568
144,212,0,213,144,0.596639,1,0.498824,1,0.501176,0.66562,0.746924,1.338824,0.000586
145,212,0,212,145,0.593838,1,0.5,1,0.5,0.666667,0.745167,1.341981,0.000612
146,212,0,211,146,0.591036,1,0.501182,1,0.498818,0.667717,0.743409,1.345154,0.000623
147,212,0,210,147,0.588235,1,0.50237,1,0.49763,0.66877,0.741652,1.348341,0.000662
148,212,0,209,148,0.585434,1,0.503563,1,0.496437,0.669826,0.739895,1.351544,0.000663
149,212,0,208,149,0.582633,1,0.504762,1,0.495238,0.670886,0.738137,1.354762,0.000684
150,212,0,207,150,0.579832,1,0.505967,1,0.494033,0.671949,0.73638,1.357995,0.000701
151,212,0,206,151,0.577031,1,0.507177,1,0.492823,0.673016,0.734622,1.361244,0.000701
152,212,0,205,152,0.57423,1,0.508393,1,0.491607,0.674086,0.732865,1.364508,0.000731
153,212,0,204,153,0.571429,1,0.509615,1,0.490385,0.675159,0.731107,1.367788,0.000741
154,212,0,203,154,0.568627,1,0.510843,1,0.489157,0.676236,0.72935,1.371084,0.000757
155,212,0,202,155,0.565826,1,0.512077,1,0.487923,0.677316,0.727592,1.374396,0.000763
156,212,0,201,156,0.563025,1,0.513317,1,0.486683,0.6784,0.725835,1.377724,0.000769
157,212,0,200,157,0.560224,1,0.514563,1,0.485437,0.679487,0.724077,1.381068,0.000769
158,212,0,199,158,0.557423,1,0.515815,1,0.484185,0.680578,0.72232,1.384428,0.000781
159,212,0,198,159,0.554622,1,0.517073,1,0.482927,0.681672,0.720562,1.387805,0.000788
160,212,0,197,160,0.551821,1,0.518337,1,0.481663,0.68277,0.718805,1.391198,0.000794
161,212,0,196,161,0.54902,1,0.519608,1,0.480392,0.683871,0.717047,1.394608,0.000819
162,212,0,195,162,0.546218,1,0.520885,1,0.479115,0.684976,0.71529,1.398034,0.000834
163,212,0,194,163,0.543417,1,0.522167,1,0.477833,0.686084,0.713533,1.401478,0.000868
164,212,0,193,164,0.540616,1,0.523457,1,0.476543,0.687196,0.711775,1.404938,0.000902
165,212,0,192,165,0.537815,1,0.524752,1,0.475248,0.688312,0.710018,1.408416,0.000906
166,212,0,191,166,0.535014,1,0.526055,1,0.473945,0.689431,0.70826,1.411911,0.00093
167,212,0,190,167,0.532213,1,0.527363,1,0.472637,0.690554,0.706503,1.415423,0.000936
168,212,0,189,168,0.529412,1,0.528678,1,0.471322,0.69168,0.704745,1.418953,0.000965
169,212,0,188,169,0.526611,1,0.53,1,0.47,0.69281,0.702988,1.4225,0.000976
170,212,0,187,170,0.52381,1,0.531328,1,0.468672,0.693944,0.70123,1.426065,0.000978
171,212,0,186,171,0.521008,1,0.532663,1,0.467337,0.695082,0.699473,1.429648,0.000978
172,212,0,185,172,0.518207,1,0.534005,1,0.465995,0.696223,0.697715,1.433249,0.000979
