@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

R_data_frame,2,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,513,56,54,2,0,96.428571,3.571429,0,0.925234,0.050365,0.164524,10.75706,33.983565,53.449128,6.724691,46.724437,0.954449,0.120084,0.834365,47.941992,0.856107,89.69649,1,21,0.057143,2,0.942857,33,0,0,0.913043,1,0.954545,0.927831,0.998639,0.997835,0.964286,0.021429,0.978571,0.035714,0.967391,0.964286,0.964572,0.927831,0.998639,0.998692,0.962567,0.964286,0.046,0,0.046236,0.000049,46.236,0.049,11029,144836,18247,100,58.035714,?,?,?
R_data_frame,3,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.053456,0.141461,11.453572,29.32424,54.123379,5.814046,48.309333,0.949533,0.102001,0.847532,48.405341,0.849217,89.43518,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,1,1,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,1,1,0.962987,0.964912,0.049,0,0.047019,0.000056,47.019,0.056,11029,144559,18524,100,59.649123,?,?,?
R_data_frame,3,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,51,6,0,89.473684,10.526316,0,0.786517,0.148219,0.280258,31.757428,58.096219,54.123379,18.828652,35.294727,0.949533,0.330327,0.619206,37.10953,0.651044,68.564696,1,21,0.166667,6,0.833333,30,0,0,0.777778,1,0.875,0.805076,0.988095,0.983207,0.894737,0.061404,0.938596,0.105263,0.918129,0.894737,0.896531,0.805076,0.988095,0.989371,0.892045,0.894737,0.045,0,0.045233,0.00005,45.233,0.05,11029,144559,18524,100,68.421053,?,?,?
R_data_frame,3,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,53,4,0,92.982456,7.017544,0,0.854962,0.063017,0.173978,13.502126,36.064798,54.123379,8.096045,46.027334,0.949533,0.142036,0.807497,46.986677,0.824328,86.814012,1,21,0.111111,4,0.888889,32,0,0,0.84,1,0.913043,0.864099,1,1,0.929825,0.040936,0.959064,0.070175,0.941053,0.929825,0.930812,0.864099,1,1,0.92711,0.929825,0.064,0,0.061957,0.00005,61.957,0.05,11029,144559,18524,100,61.403509,?,?,?
R_data_frame,3,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,54,3,0,94.736842,5.263158,0,0.888016,0.057613,0.173754,12.344182,36.0184,54.123379,7.184984,46.938395,0.949533,0.126052,0.823481,47.349635,0.830695,87.484624,0.952381,20,0.055556,2,0.944444,34,0.047619,1,0.909091,0.952381,0.930233,0.888635,0.996032,0.994048,0.947368,0.050543,0.949457,0.052632,0.948462,0.947368,0.94761,0.888635,0.996032,0.996344,0.94399,0.947368,0.052,0,0.052226,0.00005,52.226,0.05,11029,144559,18524,100,57.017544,?,?,?
R_data_frame,3,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,53,4,0,92.982456,7.017544,0,0.85214,0.096492,0.201691,20.674478,41.809556,54.123379,10.945745,43.177634,0.949533,0.192031,0.757502,43.449914,0.762279,80.279382,0.952381,20,0.083333,3,0.916667,33,0.047619,1,0.869565,0.952381,0.909091,0.854478,0.994709,0.992381,0.929825,0.060777,0.939223,0.070175,0.933369,0.929825,0.930417,0.854478,0.994709,0.995214,0.925974,0.929825,0.056,0,0.0562,0.000051,56.2,0.051,11029,144559,18524,100,66.666667,?,?,?
R_data_frame,3,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,53,4,0,92.982456,7.017544,0,0.854962,0.129308,0.224359,27.70571,46.508664,54.123379,14.042514,40.080865,0.949533,0.24636,0.703173,40.070956,0.702999,74.036315,1,21,0.111111,4,0.888889,32,0,0,0.84,1,0.913043,0.864099,0.994709,0.992381,0.929825,0.040936,0.959064,0.070175,0.941053,0.929825,0.930812,0.864099,0.994709,0.995214,0.92711,0.929825,0.047,0,0.044889,0.000056,44.889,0.056,11029,144559,18524,100,74.561404,?,?,?
R_data_frame,3,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,56,1,0,98.245614,1.754386,0,0.961924,0.043452,0.149437,9.310121,30.977572,54.123379,9.78072,44.342659,0.949533,0.171592,0.777941,49.650229,0.871057,91.735271,0.952381,20,0,0,1,36,0.047619,1,1,0.952381,0.97561,0.962622,0.98545,0.983631,0.982456,0.030075,0.969925,0.017544,0.98293,0.982456,0.982362,0.962622,0.98545,0.987879,0.980956,0.982456,0.069,0,0.069178,0.000049,69.178,0.049,11029,144559,18524,98.245614,57.017544,?,?,?
R_data_frame,3,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,55,2,0,96.491228,3.508772,0,0.927203,0.107805,0.175943,22.902341,36.12529,54.878503,10.653781,44.224722,0.962781,0.186908,0.775872,43.866676,0.769591,79.93417,1,22,0.057143,2,0.942857,33,0,0,0.916667,1,0.956522,0.92967,1,1,0.964912,0.022055,0.977945,0.035088,0.967836,0.964912,0.965159,0.92967,1,1,0.963555,0.964912,0.051,0,0.049324,0.000053,49.324,0.053,11029,144559,18524,100,73.684211,?,?,?
R_data_frame,3,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.functions.SimpleLogistic -- -I 0 -M 500 -H 50 -W 0.0',-110658209263002404,20221031.1612,512,57,57,0,0,100,0,0,1,0.038855,0.092242,8.254463,18.939626,54.878503,3.627893,51.250609,0.962781,0.063647,0.899133,51.250609,0.899133,93.389227,1,22,0,0,1,35,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.046,0,0.045883,0.000048,45.883,0.048,11029,144559,18524,100,59.649123,?,?,?
