@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {''}
@attribute measureOutOfBagError numeric

@data

R_data_frame,2,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,513,56,54,2,0,96.428571,3.571429,0,0.925234,0.065714,0.159284,14.0354,32.90125,53.449128,7.310276,46.138852,0.954449,0.130541,0.823908,46.561638,0.831458,87.113934,1,21,0.057143,2,0.942857,33,0,0,0.913043,1,0.954545,0.927831,0.998639,0.997835,0.964286,0.021429,0.978571,0.035714,0.967391,0.964286,0.964572,0.927831,0.998639,0.998692,0.962567,0.964286,0.04,0,0.039275,0.000547,39.275,0.547,231790,144836,18247,100,60.714286,?,?
R_data_frame,3,1,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.082281,0.155117,17.629516,32.155108,54.123379,8.205104,45.918275,0.949533,0.143949,0.805584,45.755169,0.802722,84.53864,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,1,1,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,1,1,0.962987,0.964912,0.038,0.001,0.036781,0.000564,36.781,0.564,217696,144559,18524,100,66.666667,?,?
R_data_frame,3,2,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,53,4,0,92.982456,7.017544,0,0.854962,0.111053,0.222604,23.794208,46.14481,54.123379,12.776136,41.347243,0.949533,0.224143,0.72539,41.698446,0.731552,77.043315,1,21,0.111111,4,0.888889,32,0,0,0.84,1,0.913043,0.864099,0.992725,0.988052,0.929825,0.040936,0.959064,0.070175,0.941053,0.929825,0.930812,0.864099,0.992725,0.992709,0.92711,0.929825,0.036,0,0.036318,0.000475,36.318,0.475,211596,144559,18524,100,65.789474,?,?
R_data_frame,3,3,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,55,2,0,96.491228,3.508772,0,0.92607,0.084737,0.166,18.15577,34.411111,54.123379,8.690583,45.432796,0.949533,0.152466,0.797067,45.30788,0.794875,83.712217,1,21,0.055556,2,0.944444,34,0,0,0.913043,1,0.954545,0.928611,0.998677,0.997835,0.964912,0.020468,0.979532,0.035088,0.967963,0.964912,0.965208,0.928611,0.998677,0.998728,0.962987,0.964912,0.036,0.001,0.036406,0.000529,36.406,0.529,218085,144559,18524,100,65.789474,?,?
R_data_frame,3,4,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,53,4,0,92.982456,7.017544,0,0.849206,0.099123,0.213702,21.238116,44.299364,54.123379,12.226102,41.897277,0.949533,0.214493,0.73504,43.277006,0.759246,79.959912,0.904762,19,0.055556,2,0.944444,34,0.095238,2,0.904762,0.904762,0.904762,0.849206,0.980159,0.971013,0.929825,0.080618,0.919382,0.070175,0.929825,0.929825,0.929825,0.849206,0.980159,0.981308,0.924603,0.929825,0.036,0.001,0.036166,0.000479,36.166,0.479,209615,144559,18524,100,65.789474,?,?
R_data_frame,3,5,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,52,5,0,91.22807,8.77193,0,0.820416,0.111053,0.227862,23.794208,47.234709,54.123379,13.441715,40.681664,0.949533,0.23582,0.713713,41.666226,0.730986,76.983785,1,21,0.138889,5,0.861111,31,0,0,0.807692,1,0.893617,0.833974,0.986772,0.979304,0.912281,0.05117,0.94883,0.087719,0.92915,0.912281,0.913674,0.833974,0.986772,0.987068,0.909495,0.912281,0.037,0.001,0.03613,0.000566,36.13,0.566,209024,144559,18524,100,64.912281,?,?
R_data_frame,3,6,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,54,3,0,94.736842,5.263158,0,0.890173,0.087895,0.167442,18.832383,34.709955,54.123379,8.885652,45.237728,0.949533,0.155889,0.793644,44.975958,0.789052,83.098947,1,21,0.083333,3,0.916667,33,0,0,0.875,1,0.933333,0.895591,1,1,0.947368,0.030702,0.969298,0.052632,0.953947,0.947368,0.947979,0.895591,1,1,0.944928,0.947368,0.038,0,0.037623,0.000544,37.623,0.544,222239,144559,18524,100,68.421053,?,?
R_data_frame,3,7,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,56,1,0,98.245614,1.754386,0,0.961924,0.089474,0.190861,19.170689,39.564673,54.123379,1080.932534,-1026.809155,0.949533,18.963729,-18.014196,44.985572,0.789221,83.116709,0.952381,20,0,0,1,36,0.047619,1,1,0.952381,0.97561,0.962622,0.962302,0.969925,0.982456,0.030075,0.969925,0.017544,0.98293,0.982456,0.982362,0.962622,0.962302,0.958433,0.980956,0.982456,0.035,0,0.035064,0.000575,35.064,0.575,203213,144559,18524,98.245614,64.912281,?,?
R_data_frame,3,8,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,56,1,0,98.245614,1.754386,0,0.963297,0.071754,0.153617,15.24371,31.541347,54.878503,7.550648,47.327854,0.962781,0.132468,0.830313,47.551235,0.834232,86.648201,1,22,0.028571,1,0.971429,34,0,0,0.956522,1,0.977778,0.963946,1,1,0.982456,0.011028,0.988972,0.017544,0.983219,0.982456,0.982524,0.963946,1,1,0.981643,0.982456,0.038,0,0.036399,0.000394,36.399,0.394,217495,144559,18524,100,64.035088,?,?
R_data_frame,3,9,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,512,57,56,1,0,98.245614,1.754386,0,0.963297,0.070351,0.146113,14.945544,30.000632,54.878503,7.113669,47.764833,0.962781,0.124801,0.83798,47.775608,0.838169,87.057054,1,22,0.028571,1,0.971429,34,0,0,0.956522,1,0.977778,0.963946,0.998701,0.998024,0.982456,0.011028,0.988972,0.017544,0.983219,0.982456,0.982524,0.963946,0.998701,0.99875,0.981643,0.982456,0.037,0.001,0.036878,0.000531,36.878,0.531,227021,144559,18524,100,64.035088,?,?
R_data_frame,3,10,weka.classifiers.meta.CostSensitiveClassifier,'-cost-matrix \"[0.0 5.0; 1.0 0.0]\" -S 1 -W weka.classifiers.trees.RandomForest -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',-110658209263002404,20221031.1623,513,56,53,3,0,94.642857,5.357143,0,0.884615,0.105714,0.223639,22.578686,46.194149,53.449128,15.86853,37.580598,0.954449,0.283367,0.671082,42.203024,0.753625,78.959238,0.904762,19,0.028571,1,0.971429,34,0.095238,2,0.95,0.904762,0.926829,0.88527,0.970068,0.967063,0.946429,0.070238,0.929762,0.053571,0.946528,0.946429,0.946153,0.88527,0.970068,0.972464,0.942288,0.946429,0.035,0.001,0.034787,0.000463,34.787,0.463,197013,144836,18247,98.214286,64.285714,?,?
